公司,职位,城市,行业,职业技能,工作年限,薪资,融资情况
懒人科技,数据分析师,深圳,移动互联网,"['BI', 'SQL', '数据库', '数据分析']",3-5年,15k-25k,不需要融资
凡普金科,数据分析师,北京,金融,['数据分析'],3-5年,15k-25k,不需要融资
PINTEC,数据分析师,上海,"移动互联网,金融","['SQL', '数据分析']",1-3年,8k-15k,上市公司
霖梓控股,数据分析,杭州,"移动互联网,金融",[],1-3年,9k-18k,B轮
信链科技,数据分析师（策略方向）,北京,"移动互联网,金融","['数据分析', 'SQLServer']",3-5年,20k-30k,A轮
驰骛科技ChiefClouds,数据分析师,上海,"数据服务,移动互联网","['BI', 'SQL', '数据库', '数据分析']",3-5年,15k-30k,A轮
博雅大数据学院,数据分析师,北京,教育,['数据分析'],不限,10k-20k,未融资
舟恩信息,数据分析,深圳,移动互联网,"['可视化', 'BI', 'SQL']",1年以下,12k-18k,不需要融资
GeexFinance,数据分析师,上海,金融,"['商业', 'BI', '可视化', '数据分析']",3-5年,15k-25k,A轮
酷狗音乐,PTBU-数据分析师,广州,文娱丨内容,"['数据分析', '数据挖掘']",不限,15k-25k,上市公司
Hypers,数据分析师,上海,移动互联网,['数据分析'],1-3年,8k-16k,上市公司
一面数据,数据分析师(商业方向，初级）,深圳,"移动互联网,数据服务",[],1年以下,8k-15k,A轮
睿琪软件,数据分析师,杭州,数据服务,"['增长黑客', '数据分析', '商业']",1-3年,10k-15k,不需要融资
玖富数科集团,数据分析师（经营分析方向）,北京,金融,"['数据运营', '商业', 'SQL']",1-3年,10k-20k,D轮及以上
Keep,数据分析师 (MJ000294),北京,"社交,文娱丨内容","['数据分析', 'BI', '商业', '数据运营']",3-5年,15k-25k,D轮及以上
PINTEC,数据分析师,北京,"移动互联网,金融",['数据分析'],1-3年,15k-25k,上市公司
霖梓控股,数据分析师,杭州,"移动互联网,金融",['数据分析'],3-5年,15k-25k,B轮
酷狗音乐,ZBBU-数据分析师,广州,文娱丨内容,['数据分析'],1-3年,10k-20k,上市公司
驰骛科技ChiefClouds,数据分析师,上海,"数据服务,移动互联网","['BI', 'SQL', '数据分析', '数据库']",3-5年,15k-30k,A轮
绿湾科技,数据分析师（大数据AI行业）,北京,"企业服务,数据服务","['数据分析', 'SPSS']",5-10年,20k-40k,B轮
商汤科技,数据分析师/数据科学家,北京,人工智能,"['数据分析', '数据挖掘', '算法']",3-5年,20k-40k,C轮
趣店,数据分析师,厦门,"移动互联网,金融","['数据分析', '策略运营']",3-5年,15k-30k,上市公司
瑞小云,数据分析师,苏州,移动互联网,"['数据分析', 'SQL', '数据库', '可视化']",3-5年,15k-25k,不需要融资
奖多多,数据分析,苏州,"移动互联网,消费生活","['增长黑客', 'SQL', '数据分析', '数据运营']",1-3年,8k-15k,B轮
钱大妈,大数据分析师,广州,消费生活,"['ETL', '数据仓库', 'Hive', 'Spark']",3-5年,15k-25k,C轮
